"dimension","tid","term","keywords"
"economic",1,"built to last","built to last, built-to-last, builttolast"
"economic",2,"durab*","durab*"
"economic",3,"energy cost*","energy cost*, energy-cost*, energycost*"
"economic",4,"good value","good value, good-value, goodvalue"
"economic",5,"high-quality","high-quality"
"economic",6,"life-span","life-span"
"economic",7,"long lasting","long lasting, long-lasting, longlasting"
"economic",8,"low-quality","low-quality"
"economic",9,"maintain*","maintain*"
"economic",10,"maintenance","maintenance"
"economic",11,"maintenance cost*","maintenance cost*, maintenance-cost*, maintenancecost*"
"economic",12,"modular*","modular*"
"economic",13,"price transparency","price transparency, price-transparency, pricetransparency"
"economic",14,"reliab*","reliab*"
"economic",15,"repair*","repair*"
"economic",16,"upgradeab*","upgradeab*"
"economic",17,"value for money","value for money, value-for-money, valueformoney"
"environmental",18,"bio degradab*","bio degradab*, bio-degradab*, biodegradab*"
"environmental",19,"carbon emission*","carbon emission*, carbon-emission*, carbonemission*"
"environmental",20,"carbon footprint","carbon footprint, carbon-footprint, carbonfootprint"
"environmental",21,"carbon re*","carbon re*, carbon-re*, carbonre*"
"environmental",22,"carbon zero","carbon zero, carbon-zero, carbonzero"
"environmental",23,"chemical free","chemical free, chemical-free, chemicalfree"
"environmental",24,"climate","climate"
"environmental",25,"co2","co2"
"environmental",26,"disassembl*","disassembl*"
"environmental",27,"disposab*","disposab*"
"environmental",28,"easy to dispose","easy to dispose, easy-to-dispose, easytodispose"
"environmental",29,"eco conscious*","eco conscious*, eco-conscious*, ecoconscious*"
"environmental",30,"eco friendly*","eco friendly*, eco-friendly*, ecofriendly*"
"environmental",31,"electricity consumption","electricity consumption, electricity-consumption, electricityconsumption"
"environmental",32,"electricty use*","electricty use*, electricty-use*, electrictyuse*"
"environmental",33,"emission*","emission*"
"environmental",34,"energy consumption","energy consumption, energy-consumption, energyconsumption"
"environmental",35,"energy efficien*","energy efficien*, energy-efficien*, energyefficien*"
"environmental",36,"energy saving*","energy saving*, energy-saving*, energysaving*"
"environmental",37,"energy use*","energy use*, energy-use*, energyuse*"
"environmental",38,"environment protecting","environment protecting, environment-protecting, environmentprotecting"
"environmental",39,"environmental*","environmental*"
"environmental",40,"excessive packag*","excessive packag*, excessive-packag*, excessivepackag*"
"environmental",41,"fewer chemicals","fewer chemicals, fewer-chemicals, fewerchemicals"
"environmental",42,"fewer waste","fewer waste, fewer-waste, fewerwaste"
"environmental",43,"ghg","ghg"
"environmental",44,"green product*","green product*, green-product*, greenproduct*"
"environmental",45,"greenhouse gas*","greenhouse gas*, greenhouse-gas*, greenhousegas*"
"environmental",46,"less chemical*","less chemical*, less-chemical*, lesschemical*"
"environmental",47,"less waste","less waste, less-waste, lesswaste"
"environmental",48,"low waste","low waste, low-waste, lowwaste"
"environmental",49,"minimal packag*","minimal packag*, minimal-packag*, minimalpackag*"
"environmental",50,"multi-use","multi-use"
"environmental",51,"plastic packag*","plastic packag*, plastic-packag*, plasticpackag*"
"environmental",52,"power consumption","power consumption, power-consumption, powerconsumption"
"environmental",53,"re-purposable","re-purposable"
"environmental",54,"recyclab*","recyclab*"
"environmental",55,"recyclable packag*","recyclable packag*, recyclable-packag*, recyclablepackag*"
"environmental",56,"recycle*","recycle*"
"environmental",57,"recycled material*","recycled material*, recycled-material*, recycledmaterial*"
"environmental",58,"recycled packag*","recycled packag*, recycled-packag*, recycledpackag*"
"environmental",59,"refurb*","refurb*"
"environmental",60,"renewable energ*","renewable energ*, renewable-energ*, renewableenerg*"
"environmental",61,"repurposable","repurposable"
"environmental",62,"resource efficien*","resource efficien*, resource-efficien*, resourceefficien*"
"environmental",63,"reusab*","reusab*"
"environmental",64,"reuse","reuse"
"environmental",65,"saves energy","saves energy, saves-energy, savesenergy"
"environmental",66,"second hand","second hand, second-hand, secondhand"
"environmental",67,"single use","single use, single-use, singleuse"
"environmental",68,"throwaway","throwaway"
"environmental",69,"waste reduc*","waste reduc*, waste-reduc*, wastereduc*"
"environmental",70,"zero carbon","zero carbon, zero-carbon, zerocarbon"
"environmental",71,"zero waste","zero waste, zero-waste, zerowaste"
"social",72,"*ethic*","*ethic*"
"social",73,"*harmful chemical*","*harmful chemical*, *harmful-chemical*, *harmfulchemical*"
"social",74,"*hazard*","*hazard*"
"social",75,"*toxic*","*toxic*"
"social",76,"accessib*","accessib*"
"social",77,"ergonomic*","ergonomic*"
"social",78,"health*","health*"
"social",79,"non profit","non profit, non-profit, nonprofit"
"social",80,"safe to operate","safe to operate, safe-to-operate, safetooperate"
"social",81,"safe to use","safe to use, safe-to-use, safetouse"
"social",82,"safety","safety"
"social",83,"well being","well being, well-being, wellbeing"
"global",84,"sustainab*","sustainab*"
